,Book-Author,Description
892,Diana Butler  Bass,Diana Butler Bass is an American historian of Christianity and an advocate for progressive Christianity. She is the author of eleven books.
893,Michael Gurian,"Michael Gurian is an American author and social philosopher. He works as a marriage and family counselor and corporate consultant. He has published twenty-eight books, several of which were New York Times bestseller list bestsellers. He is considered, along with Leonard Sax, as one of the major proponents of the post-modern ""single-sex academic classes"" movement."
894,John E.  Douglas,"John Edward Douglas is an American retired special agent and unit chief in the United States Federal Bureau of Investigation (FBI). He was one of the first criminal profilers and has written and co-written books on criminal psychology, true crime novels, and his biography."
895,Roger  D'Aprix,
896,Gale Group,"Gale is a global provider of research and digital learning resources. The company is based in Farmington Hills, Michigan, United States, west of Detroit. It has been a division of Cengage since 2007."
897,Visible Ink Pr,
898,Stead,"Stead is an English surname, and may refer to:"
899,Charlotte Milholland,
900,Paul Fargis,"Paul McKenna Fargis is an American publisher, editor and author. In 1978, he founded The Stonesong Press, Inc., a company that developed book projects from the initial concept through final manuscript, printer-ready materials or printed and bound books delivered to a participating publisher. Stonesong was the first company to cooperatively develop major popular reference books with well-known institutions and brand names, including Harvard University Medical School, The Library of Congress, The American Pharmaceutical Association, Lands End, ESPN, The American Film Institute, National Geographic and others. Several of the Stonesong reference titles won Notable Book Awards and Best Reference recognition from the American Library Association and others. Mr. Fargis edited and produced more than a dozen reference works with The New York Public Library, the best known being four editions of The New York Public Library Desk Reference."
901,Caroline Kennedy,"Caroline Bouvier Kennedy is an American author, attorney, and diplomat serving in President Joe Biden's administration as the United States Ambassador to Australia since 2022. She previously served in the Obama administration as the United States Ambassador to Japan from 2013 to 2017. A prominent member of the Kennedy family, she is the only surviving child of former U.S. president John F. Kennedy (JFK) and former first lady Jacqueline Bouvier Kennedy."
902,Sarah Heller,
903,Kathleen W. Zoehfeld,
904,Bruce Talkington,
905,Patricia Baird,"Patricia Ann Baird, is a British medical geneticist active in Canada. Her research has specialized on the relationship between medical technology and ethics."
906,Various Authors,"The expression ""various authors"" is used to credit creative works which are the result of a collaboration. In English it is more common to describe the authors of such a compilation collectively, for example by saying for what occasion the texts were written or by naming one writer, for example the first one in the alphabet, and then adding et al."
907,Pooh,Winnie-the-Pooh is a fictional anthropomorphic teddy bear created by English author A. A. Milne and English illustrator E. H. Shepard. Winnie-the-Pooh first appeared by name in a children's story commissioned by London's Evening News for Christmas Eve 1925. The character is based on a stuffed toy that Milne had bought for his son Christopher Robin in Harrods department store.
908,Jonathan Stroud,"Jonathan Anthony Stroud is a British writer of fantasy fiction, best known for the Bartimaeus young adult sequence and Lockwood & Co. children's series. His books are typically set in an alternative history London with fantasy elements, and have received note for his satire, and use of magic to reflect themes of class struggle. The Bartimaeus sequence is the recipient of the Grand Prix de l'Imaginaire and Mythopoeic Fantasy Awards. Stroud's works have also been featured on ALA Notable lists of books for children and young adults. In 2020, Netflix announced a TV series based on Lockwood & Co., with filming initiated in July 2021."
909,Manu Boisteau,
910,Shelley Tanaka,"Shelley Tanaka is a Canadian editor of numerous young adult novels, an author of non-fiction for children, a translator, and a writing teacher."
911,Tony Abbott,Anthony John Abbott is a British-born Australian former politician who served as the 28th prime minister of Australia from 2013 to 2015. He held office as the leader of the Liberal Party of Australia.
912,Kate Thompson,"Kate Thompson may refer to:Kate Fanny Thompson, married name of English composer Kate Loder
Kate Thompson (author), who writes for children and adults, author of The New Policeman and Down among the Gods
Kate Thompson, author of It Means Mischief and Sex, Lies and Fairytales
"
913,Elizabeth Levy,"Elizabeth Levy is an author who has written over eighty children's books in a variety of genres. Born in Buffalo, New York, she is currently living in New York City. She has appeared as a contestant on ""Funny Or Die's Billy on the Street"" on TruTV. She is a cousin of children's author Robie Harris."
914,Julie Aigner-Clark,"Baby Einstein is an American franchise and line of multimedia products, including home video programs, CDs, books, flash cards, toys, and baby gear that specialize in interactive activities for infants and toddlers under three years old, created by Julie Aigner-Clark. The franchise is produced by The Baby Einstein Company."
917,Laurie Coulter,
918,Kevin Somers,
919,Ken Wilson-Max,
920,Allison Samuels,
921,Rosemary Wells,"Rosemary Wells is an American writer and illustrator of children's books. She is well known for using animal characters to address real human issues. Some of her most well-known characters are Max & Ruby, Noisy Nora, and Yoko."
922,Carol Greene,Greene Naftali is a contemporary art gallery located in the Chelsea neighborhood of New York City.
923,William Wegman,"William Wegman may refer to:Bill Wegman, American baseball player
William Wegman (photographer), American artist
"
924,Cathy Hapka,
925,Various Artists,"A compilation album comprises tracks, which may be previously released or unreleased, usually from several separate recordings by either one performer or by several performers. If the recordings are from one artist, then generally the tracks were not originally intended for release together as a single work, but may be collected together as a greatest hits album or box set. If the recordings are from several artists, there may be a theme, topic, time period, or genre which links the tracks, or they may have been intended for release as a single work—such as a tribute album. When the tracks are by the same recording artist, the album may be referred to as a retrospective album or an anthology."
926,Danny Bonaduce,"Dante Daniel Bonaduce is an American radio personality, actor, television personality, and professional wrestler. Bonaduce is the son of veteran TV writer and producer Joseph Bonaduce. Bonaduce became famous as a child actor of the 1970s on the TV sitcom The Partridge Family. He co-starred as Danny Partridge, the wisecracking, redheaded middle son of the singing family band, and he portrayed the fictional pop group's bass guitar player."
928,James A. Joseph,James A. Joseph was an American diplomat.
929,Tim Cockey,
930,Schama Simon,
931,Murray Douglas,Murray Douglas is a Scottish rugby union player for the Shizuoka Blue Revs in Japan Rugby League One. His position is lock or blindside flanker.
932,Venero Armanno,"Venero Armanno is an Australian novelist. He was born in Brisbane of Sicilian parents. He received a BA from the University of Queensland, and later an MA and PhD in Creative Writing from the Queensland University of Technology. Armanno completed ten unpublished manuscripts over fourteen years before being accepted for publication."
933,Donald Lynch,
934,Sandra Benitez,Sandra Benitez is an American novelist.
935,Deanna F. Cook,
936,William Souder,William Souder is an American journalist and author who won the Los Angeles Times Book Prize for Biography in 2021 for his book Mad at the World: A Life of John Steinbeck. His book Under a Wild Sky: John James Audubon and the Making of The Birds of America was the finalist for Pulitzer Prize for Biography or Autobiography. His book On A Farther Shore was listed in New York Times 100 Notable Books of 2012 and Top 25 Best Non-Fiction book in 2012 by Kirkus Reviews.
937,John Gilman,"John Gilman may refer to:John Gilman (activist), American activist
John Taylor Gilman, American farmer, shipbuilder and politician
John J. Gilman, American material scientist
John M. Gilman, American politician and lawyer
"
938,Rand Miller,"Rand Miller is a C.E.O. and co-founder of Cyan Worlds. He and brother Robyn Miller became famous due to the success of their computer game Myst, which remained the all-time best-selling computer game from its release in 1993 until that record was surpassed by The Sims nearly a decade later. Rand also worked on the game's sequel, Riven, and later reprised his role as protagonist Atrus in Myst III: Exile, realMyst, Uru, Myst IV: Revelation, and Myst V: End of Ages. He also co-authored Myst novels The Book of Atrus, The Book of Ti'ana, and The Book of D'ni."
939,Stephen Rebello,"Stephen Rebello is an American writer, screenwriter, journalist and former clinical therapist."
940,Rob Morrow,"Robert Alan Morrow is an American actor and director. He is known for his portrayal of Dr. Joel Fleischman on Northern Exposure, a role that garnered him three Golden Globe and two Emmy nominations for Best Actor in a Dramatic Series, and later for his role as FBI agent Don Eppes on Numb3rs."
941,T. J. MacGregor,"Patricia Janeshutz MacGregor writes most of her award-winning mysteries under the pen name of T.J. MacGregor. As Alison Drake, she wrote five novels and as Trish Janeshutz she wrote two. As Trish J MacGregor, she wrote the trilogy The Hungry Ghosts. As Trish MacGregor, she has written dozens nonfiction books that reflect her interests - synchronicity, precognition, astrology, the tarot, dreams, and yoga. In 2003, with the death of renowned astrologer Sydney Omarr, MacGregor took over the writing of his astrology books, several of which are co authored with husband, Rob MacGregor."
942,Ira L. Meyer,
944,Jasmine Jones,
945,Kirsten Larsen,Kirsten Larsen is a retired female badminton player from Denmark.
947,Ivana Tiara,
948,Darrell Scott,"James Darrell Scott, known as Darrell Scott, is an American singer-songwriter and multi-instrumentalist. The son of musician Wayne Scott, he moved as a child to East Gary, Indiana. He was playing professionally by his teens in Southern California. Later, Darrell moved to Toronto then Boston. He attended Tufts University, where he studied poetry and literature. He has lived in Nashville, Tennessee, since about 1995. He has written several mainstream country hits, and he has also established himself as one of Nashville's premier session instrumentalists. His younger brother, David Scott, occasionally accompanies Darrell on the keyboard."
949,Hugh Hewitt,"Hugh Hewitt is an American radio talk show host with the Salem Radio Network and an attorney, academic, and author. A conservative, he writes about law, society, politics, and media bias in the United States. Hewitt is a former official in the Reagan administration, the former president and CEO of the Richard Nixon Foundation, a law professor at Chapman University School of Law, a columnist for The Washington Post, and a regular political commentator on Fox News."
950,Dave Ramsey,"David Lawrence Ramsey III is an American radio personality who offers financial advice. He hosts the nationally syndicated radio program The Ramsey Show. Ramsey has written several books, including The New York Times bestseller The Total Money Makeover, and hosted a television show on Fox Business from 2007 to 2010."
951,Steven Brust,"Steven Karl Zoltán Brust is an American fantasy and science fiction author of Hungarian descent. He is best known for his series of novels about the assassin Vlad Taltos, one of a disdained minority group of humans living on a world called Dragaera. His recent novels also include The Incrementalists (2013) and its sequel The Skill of Our Hands (2017), with co-author Skyler White."
952,J. A. MacCulloch,
953,Edwin Sidney Hartland,"
Edwin Sidney Hartland (1848–1927) was an author of works on folklore."
954,Thomas Bulfinch,"Thomas Bulfinch was an American author born in Newton, Massachusetts, known best for Bulfinch's Mythology, a posthumous combination of his three volumes of mythologies."
955,Hans-Hermann Hoppe,"Hans-Hermann Hoppe is a German-American economist of the Austrian School, philosopher and political theorist. He is Professor Emeritus of Economics at the University of Nevada, Las Vegas (UNLV), Senior Fellow of the Ludwig von Mises Institute, and the founder and president of the Property and Freedom Society."
956,Charles A. Beard,"Charles Austin Beard was an American historian and professor, who wrote primarily during the first half of the 20th century. A history professor at Columbia University, Beard's influence is primarily due to his publications in the fields of history and political science. His works included a radical re-evaluation of the Founding Fathers of the United States, whom he believed to be more motivated by economics than by philosophical principles. Beard's most influential book, An Economic Interpretation of the Constitution of the United States (1913), has been the subject of great controversy ever since its publication. While it has been frequently criticized for its methodology and conclusions, it was responsible for a wide-ranging reinterpretation of early American history."
957,Aimee Thurlo,
958,Isobelle Carmody,"Isobelle Jane Carmody is an Australian writer of science fiction, fantasy, children's literature, and young adult literature. She is recipient of the Aurealis Award for best children's fiction."
959,Christopher Pike,"Christopher Pike is the name of:Christopher Pike (author), author who specializes in young adult thrillers
Christopher Pike , a character in the fictional Star Trek universe
Chris Pike, Welsh former professional footballer
Chris Pike, former American football defensive tackle"
960,Rudy Rucker,"Rudolf von Bitter Rucker is an American mathematician, computer scientist, science fiction author, and one of the founders of the cyberpunk literary movement. The author of both fiction and non-fiction, he is best known for the novels in the Ware Tetralogy, the first two of which both won Philip K. Dick Awards. Until its closure in 2014 he edited the science fiction webzine Flurb."
961,L. E. Modesitt,L. E. Modesitt Jr. is an American science fiction and fantasy author who has written over 75 novels. He is best known for the fantasy series The Saga of Recluce. By 2015 the 18 novels in the Recluce series had sold nearly three million copies. By 2019 there were 22 Recluce novels.
962,Allen C. Kupfer,
963,Steven Erikson,"Steve Rune Lundin, known by his pseudonym Steven Erikson, is a Canadian novelist who was educated and trained as both an archaeologist and anthropologist."
964,Jon Land,Jon Land is an American author of thriller novels.
965,Jay Davis,Jay Davis is a former professional baseball player.
967,Sarah Zettel,"Sarah Zettel is an American author, primarily of science fiction. Her first short story was published in Analog Science Fiction and Fact in 1991. Zettel's novels have won multiple awards, including the Philip K. Dick Award and the Locus Award for Best First Novel, and positive reviews from critics. Her first novel Reclamation was published in 1996 and her second novel Fool's War in 1997. She has written romance novels and mysteries under the pseudonym Darcie Wilde, and the novel Bitter Angels as C. L. Anderson."
968,L. E. Modesitt Jr.,L. E. Modesitt Jr. is an American science fiction and fantasy author who has written over 75 novels. He is best known for the fantasy series The Saga of Recluce. By 2015 the 18 novels in the Recluce series had sold nearly three million copies. By 2019 there were 22 Recluce novels.
969,Meredith Blevins,
970,Ramsey Campbell,"Ramsey Campbell is an English horror fiction writer, editor and critic who has been writing for well over fifty years. He is the author of over 30 novels and hundreds of short stories, many of them winners of literary awards. Three of his novels have been adapted into films."
971,Mike Brotherton,Michael Sean Brotherton is an American science fiction writer and astronomer. He began writing in 1980.
972,Isabel Glass,"Lisa Goldstein is an American fantasy and science fiction writer whose work has been nominated for Nebula, Hugo, and World Fantasy Awards. Her 1982 novel The Red Magician won a National Book Award in the one-year category Original Paperback

and was praised by Philip K. Dick shortly before his death. Her 2011 novel, The Uncertain Places, won the 2012 Mythopoeic Fantasy Award for Adult Literature, and her short story, ""Paradise Is a Walled Garden,"" won the 2011 Sidewise Award for Best Short-Form Alternate History."
973,Claude Bragdon,"Claude Fayette Bragdon was an American architect, writer, and stage designer based in Rochester, New York, up to World War I, then in New York City."
974,O. Phelps Brown,
975,Anna Sewell,"Anna Sewell was an English novelist. She is known as the author of the 1877 novel Black Beauty, her only published work, which is considered one of the top ten best selling novels for children, although the author intended the work for an adult audience. Sewell died only five months after Black Beauty's publication, having lived long enough to see her only novel become a success."
976,World Wildlife Fund,"

"
977,Anne Geddes,"Anne Elizabeth Geddes is an Australian-born, New York City-based portrait photographer known primarily for her elaborately-staged photographs of infants."
978,Kent Salisbury,
979,JUDITH WRIGHT,
980,Ellen Sandbeck,
981,SAM JR LIGHTNER,
982,CHRISTOPHER CORBETT,
983,David Chadwick,"David Chadwick may refer to:David Chadwick (physician) (1926–2020), American clinical and research pediatrician, author, founder of founder of Chadwick Center for Children and Autism Discovery Institute, San Diego
David Chadwick (writer), American writer on Buddhism
David Chadwick (footballer), English retired professional footballer
David Chadwick (politician) (1821–1895), British Liberal Member of Parliament (MP) for Macclesfield 1868–1880
Dave Chadwick, Grand Prix motorcycle road racer
"
984,ALFRED PORTALE,
985,TOM CROCKETT,
986,Deborah Madison,"Deborah Madison is an American chef, food writer and cooking teacher. She has been called an expert on vegetarian cooking and her gourmet repertoire showcases fresh garden produce. Her work also highlights Slow Food, local foods and farmers' markets."
987,Anna Benson,"Anna Benson is an American model, former stripper, and ex-wife of former Major League Baseball pitcher Kris Benson."
988,Jerry Biederman,
989,Ron O'Riley,
990,Ellen Cutler,
991,Kim Anderson,"Kim Anderson may refer to:Kim Anderson, American football player
Kim Anderson (basketball), American basketball coach
Kim Anderson (cyclist), American female cyclist
Kim Anderson (singer), bassist for the band Flee the Seen
Kim Anderson, the former husband of Stevie Nicks 
Kim Anderzon (1943–2014), Swedish actress
Kim Anderson (professor), Canadian professor"
992,Susan Florence,
993,Robert Louis Stevenson,"Robert Louis Stevenson was a Scottish novelist, essayist, poet and travel writer. He is best known for works such as Treasure Island, Strange Case of Dr Jekyll and Mr Hyde, Kidnapped and A Child's Garden of Verses."
994,johanna spyri,
995,Robert Holdstock,"Robert Paul Holdstock was an English novelist and author best known for his works of Celtic, Nordic, Gothic and Pictish fantasy literature, predominantly in the fantasy subgenre of mythic fiction."
999,Thomas Harlan,Thomas Christoph Harlan was a German author and director of French-language films.
1000,David Farland,"John David Wolverton, better known by his pen names Dave Wolverton and David Farland, was an American author, editor, and instructor of online writing workshops and groups. He wrote in several genres but was known best for his science fiction and fantasy works. Books in his Runelords series hit the New York Times bestsellers list."
1001,Michael Norman,"Michael Norman may refer to:Mick Norman, English cricketer
Michael Norman 
Michael Norman (author), American author
Michael Norman (sprinter), American track and field athlete"
1002,John Robert Marlow,
1003,Timothy Zahn,"Timothy Zahn is an American writer of science fiction and fantasy. He is known best for his prolific collection of Star Wars books, chiefly the Thrawn series, and has published several other series of sci-fi and fantasy novels of his own original creation, in addition to many works of short fiction."
1004,Lewis Perdue,"Lewis Perdue is the author of 20 published books including Daughter of God, and The Da Vinci Legacy. Perdue was sued by Random House in 2003 when he charged that Dan Brown's The Da Vinci Code plagiarized those two books. Random House won the lawsuit but lost their demand to have Perdue pay their legal fees."
1005,F. Paul Wilson,"Francis Paul Wilson is an American medical doctor and author of horror, adventure, medical thrillers, science fiction, and other genres of literary fiction. His books include the Repairman Jack novels—including Ground Zero, The Tomb, and Fatal Error—the Adversary cycle—including The Keep—and a young adult series featuring the teenage Jack. Wilson has won the Prometheus Award, the Bram Stoker Award, the Inkpot Award from the San Diego ComiCon, and the Lifetime Achievement Award of the Horror Writers of America, among other honors. He lives in Wall, New Jersey."
1006,Mitchell Smith,Mitchell Smith is an American author writing crime fiction and science fiction.
1008,Dorothy Wood,
1009,Donna Green,"Donna Marie Christian-Christensen, formerly Donna Christian-Green, is an American physician and politician. She served as the 4th elected non-voting Delegate from the United States Virgin Islands's at-large district to the United States House of Representatives from 1997 until 2015."
1010,Susan Waggoner,
1012,Penny Walton,
1013,Katheen Paton,
1014,Wolfram Prinz,
1015,Maryjo Koch,
1016,B. Kliban,"Bernard ""Hap"" Kliban was an American cartoonist."
1017,"Pope John, II Paul",
1018,Thomas M. Santa,
1019,Robert Reed,"Robert Reed was an American actor. He played Kenneth Preston on the legal drama The Defenders from 1961 to 1965 alongside E. G. Marshall, and is best known for his role as patriarch Mike Brady, opposite Florence Henderson's role as Carol Brady, on the ABC sitcom The Brady Bunch, which aired from 1969 to 1974. He later reprised his role of Mike Brady on several of the reunion programs. In 1976, he earned two Primetime Emmy Award nominations for his guest-starring role in a two-part episode of Medical Center and for his work on the miniseries Rich Man, Poor Man. The following year, Reed earned a third Emmy nomination for his role in the miniseries Roots."
1020,Jane Lindskold,Jane M. Lindskold is an American writer of fantasy and science fiction short stories and novels.
1021,Peter Watts,Peter Watts may refer to:
1025,Nancy Kress,"Nancy Anne Kress is an American science fiction writer. She began writing in 1976 but has achieved her greatest notice since the publication of her Hugo- and Nebula-winning 1991 novella Beggars in Spain, which became a novel in 1993. She also won the Nebula Award for Best Novella in 2013 for After the Fall, Before the Fall, During the Fall, and in 2015 for Yesterday's Kin. In addition to her novels, Kress has written numerous short stories and is a regular columnist for Writer's Digest. She is a regular at Clarion writing workshops. During the winter of 2008/09, Nancy Kress was the Picador Guest Professor for Literature at the University of Leipzig's Institute for American Studies in Leipzig, Germany."
1026,Carole Nelson Douglas,"Carole Nelson Douglas was an American writer of sixty novels and many short stories. She has written in many genres, but is best known for two popular mystery series, the Irene Adler Sherlockian suspense novels and the Midnight Louie mystery series."
1028,Catherine Asaro,"Catherine Ann Asaro is an American science fiction and fantasy author, singer and teacher. She is best known for her books about the Ruby Dynasty, called the Saga of the Skolian Empire."
1029,J. V. Jones,Julie Victoria Jones is a British author of fantasy.
1030,Richard Hoyt,
1032,J. Robert King,J. Robert King is an American fantasy novelist and former editor and game designer. He also writes non-fantasy fiction as John R. King.
1033,Andrew M. Greeley,"Andrew M. Greeley was an American Catholic priest, sociologist, journalist and popular novelist."
1034,Jim Grimsley,Jim Grimsley is an American novelist and playwright.
1035,Martin L. Marcus,
1036,Harry Turtledove,"Harry Norman Turtledove is an American author who is best known for his work in the genres of alternate history, historical fiction, fantasy, science fiction, and mystery fiction. He is a student of history and completed his PhD in Byzantine history. His dissertation was on the period AD 565–582. He lives in Southern California."
1037,Ted Chiang,"Ted Chiang is an American science fiction writer. His work has won four Nebula awards, four Hugo awards, the John W. Campbell Award for Best New Writer, and six Locus awards. His short story ""Story of Your Life"" was the basis of the film Arrival (2016). He was an artist in residence at the University of Notre Dame in 2020–2021. Chiang is also a frequent non-fiction contributor to the New Yorker Magazine, most recently on topics related to computer technology, such as artificial intelligence."
1038,Judith Tarr,Judith Tarr is an American fantasy and science fiction author.
1039,Kij Johnson,Kij Johnson is an American writer of fantasy. She is a faculty member at the University of Kansas.
1040,Barbara D'Amato,Barbara D'Amato is an American mystery author and winner of the Agatha and Anthony Award. She also features in Great Women Mystery Writers (2007).
1041,Gene Wolfe,"Gene Rodman Wolfe was an American science fiction and fantasy writer. He was noted for his dense, allusive prose as well as the strong influence of his Catholic faith. He was a prolific short story writer and novelist, and won many literary awards. Wolfe has been called ""the Melville of science fiction"", and was honored as a Grand Master by the Science Fiction and Fantasy Writers of America."
1042,Terri Windling,"Terri Windling is an American editor, artist, essayist, and the author of books for both children and adults. She has won nine World Fantasy Awards, the Mythopoeic Fantasy Award, and the Bram Stoker Award, and her collection The Armless Maiden appeared on the short-list for the James Tiptree, Jr. Award."
1043,Lawrence Watt-Evans,Lawrence Watt-Evans is one of the pseudonyms of American science fiction and fantasy author Lawrence Watt Evans.
1044,Susan Branch,"Susan Branch is an American author, watercolorist, and designer. Her works include the Heart of the Home series of cookbooks in which she was also the illustrator."
1045,Dan Weaver,This is a list of characters from the TNT television series Falling Skies.
1047,Selina Young,
1048,Daniel A. Tauber,
1049,Patrick Lavin,"
Patrick Peter Lavin (1881-unknown) was an English communist, activist, and translator. He started off as a miner, but as an autodidact he was attracted to Independent Working Class Education. Lavin was secretary of the Scottish Labour College. After membership of the Independent Labour Party and the Socialist Labour Party he became a founding member of the Communist Party of Great Britain at their Foundation Congress in 1920."
1050,Dougal Buchanan,
1052,Davidovic Mladen,
1053,Heini Gruffudd,
1054,Nicholas Awde,"Nick Awde Hill is a British writer, artist, singer-songwriter and critic. He is based in London and Brussels."
1055,R.W. Renton,
1056,Adam Zamoyski,Adam Zamoyski is a British historian and author.
1057,Iva Hoth,The Picture Bible is a comic strip telling of the Bible edited by Iva Hoth with illustrations by Andre LeBlanc. It was first published in full colour form by David C. Cook in 1978.
1058,Curtiss Ann Matlock,
1059,Elinor R. Workman,
1060,Brenda Joyce,"Brenda Joyce may refer to:Brenda Joyce (author), American writer
Brenda Joyce (actress) (1917–2009), American film actress
"
1061,Stef Ann Holm,
1062,Erica Orloff,
1063,Lynne Kaufman,
1064,Charlotte Vale Allen,"Charlotte Vale-Allen was a writer of contemporary fiction. She lived in the United Kingdom from 1961 to 1964 working as a singer and actress. She emigrated to the United States in 1966 following a brief return to Canada. After marrying Walter Bateman Allen Jr. in 1970, she moved to Connecticut where she later lived."
1065,Virginia Frances Schwartz,
1066,Troon Harrison,
1067,Connie Brummel Crook,
1068,Glenn Weir,
1069,Vincent Flanders,
1070,Gini Courter,"Unitarian Universalist Association (UUA) is a liberal religious association of Unitarian Universalist congregations. It was formed in 1961 by the consolidation of the American Unitarian Association and the Universalist Church of America, both Protestant Christian denominations with Unitarian and Universalist doctrines, respectively. However, modern Unitarian Universalists see themselves as a separate religion with its own beliefs and affinities. They define themselves as non-creedal, and draw wisdom from various religions and philosophies, including humanism, pantheism, Christianity, Hinduism, Buddhism, Taoism, Judaism, Islam, and Earth-centered spirituality. Thus, the UUA is a syncretistic religious group with liberal leanings."
1071,Philip Heller,
1072,Kristine Kidd,
1073,Natalie Carabetta,
1074,Ken Anderson,Ken or Kenneth Anderson may refer to:
1075,Tim Baker,"Tim Baker may refer to:Tim Baker, American football player
Tim Baker (journalist), Australian journalist
Tim Baker (musician), Canadian singer-songwriter"
1076,Josh McDowell,"Joslin ""Josh"" McDowell is an evangelical Christian apologist and evangelist. He is the author or co-author of over 150 books."
1077,Orville J. Nave,"Orville James Nave was an American Methodist theologian and chaplain in the United States Army. He is best known for compiling Nave's Topical Bible, an index of topics addressed in the Christian Bible."
1078,Bill Jemas,"Bill Jemas is an American media entrepreneur, writer, and editor, known for his tenure as president of Fleer Entertainment Group during the 1990s, and for his work as vice president of Marvel Comics from 2000 to 2004. During his time at Marvel, Jemas and editor-in-chief Joe Quesada implemented Marvel's no-overship policy, newsstand compilation magazines, added the Marvel MAX line, fortified the Marvel Knights imprint, removed the Comics Code from Marvel books, increased Marvel's publication of trade paperbacks, and were credited with shepherding the company from bankruptcy to profit, earning positive reviews from within and outside of the comics industry, though Jemas also was criticized for micromanagement and provocative public statements that made him a controversial figure."
1079,Chris Claremont,"Christopher S. Claremont is a British-born American comic book writer and novelist, known for his 16-year stint on Uncanny X-Men from 1975 to 1991, far longer than that of any other writer, during which he is credited with developing strong female characters as well as introducing complex literary themes into superhero narratives, turning the once underachieving comic into one of Marvel's most popular series."
1080,Frank Miller,"Frank Miller is an American comic book writer, penciller and inker, novelist, screenwriter, film director, and producer known for his comic book stories and graphic novels such as his run on Daredevil, for which he created the character Elektra, and subsequent Daredevil: Born Again, The Dark Knight Returns, Batman: Year One, Sin City, and 300."
1081,Kevin Smith,"Kevin Patrick Smith is an American filmmaker, actor, comedian, comic book writer, author, YouTuber, and podcaster. He came to prominence with the low-budget comedy buddy film Clerks (1994), which he wrote, directed, co-produced, and acted in as the character Silent Bob of stoner duo Jay and Silent Bob, characters who also appeared in Smith's later films Mallrats (1995), Chasing Amy (1997), Dogma (1999), Jay and Silent Bob Strike Back (2001), Clerks II (2006), Jay and Silent Bob Reboot (2019), and Clerks III (2022) which are set primarily in his home state of New Jersey. While not strictly sequential, the films have crossover plot elements, character references, and a shared canon known as the ""View Askewniverse"", named after Smith's production company View Askew Productions, which he co-founded with Scott Mosier."
1082,Steve White,Steve White may refer to:
1083,Stan Lee,"Stan Lee was an American comic book writer, editor, publisher, and producer. He rose through the ranks of a family-run business called Timely Comics which would later become Marvel Comics. He was the primary creative leader for two decades, leading its expansion from a small division of a publishing house to a multimedia corporation that dominated the comics and film industries."
1084,Bob Hartman,"Robert ""Bob"" Hartman is a Christian artist, guitarist, writer and songwriter. He is the founder of Christian rock band Petra. Hartman was involved with the band from its foundation in 1972 to its end in 2005. He took a break from touring in 1995, but continued to write most of the band's songs, record guitars and produce most of the albums. He officially returned to touring with Petra in 2003 until he decided to retire the band in late 2005."
1085,Dava Sobel,"Dava Sobel is an American writer of popular expositions of scientific topics. Her books include Longitude, about English clockmaker John Harrison; Galileo's Daughter, about Galileo's daughter Maria Celeste; and The Glass Universe: How the Ladies of the Harvard Observatory Took the Measure of the Stars about the Harvard Computers."
1086,W. E. B. Griffin,"William Edmund Butterworth III, better known by his pen name W. E. B. Griffin, was an American writer of military and detective fiction with 59 novels in seven series published under that name. Twenty-one of those books were co-written with his son, William E Butterworth IV. He also published under 11 other pseudonyms and three versions of his real name."
1087,Pat Ross,"Pat Ross is the name of:Pat Ross (businessman), CEO of Steeplejack Industrial
Pat Ross, American football player"
1088,Editors of Time-Life Books,
1089,Susan Wels,
1092,David H. Levy,"David Howard Levy is a Canadian amateur astronomer, science writer and discoverer of comets and minor planets, who co-discovered Comet Shoemaker–Levy 9 in 1993, which collided with the planet Jupiter in 1994."
1093,Orchard,"An orchard is an intentional plantation of trees or shrubs that is maintained for food production. Orchards comprise fruit- or nut-producing trees that are generally grown for commercial production. Orchards are also sometimes a feature of large gardens, where they serve an aesthetic as well as a productive purpose. A fruit garden is generally synonymous with an orchard, although it is set on a smaller, non-commercial scale and may emphasize berry shrubs in preference to fruit trees. Most temperate-zone orchards are laid out in a regular grid, with a grazed or mown grass or bare soil base that makes maintenance and fruit gathering easy."
1094,Gary Ross,"Gary Ross is an American filmmaker. He is best known for writing and directing the fantasy comedy-drama film Pleasantville (1998), the sports drama film Seabiscuit (2003), the sci-fi action film The Hunger Games (2012), and the heist comedy film Ocean's 8 (2018). Ross has been nominated for four Academy Awards."
1095,James Houston,James or Jim Houston may refer to:
1096,Gerry Goldberg,
1097,A.K. Dewdney,"Alexander Keewatin Dewdney is a Canadian mathematician, computer scientist, author, filmmaker, and conspiracy theorist. Dewdney is the son of Canadian artist and author Selwyn Dewdney, and brother of poet Christopher Dewdney."
1098,William Deverell,"William Herbert Deverell is a Canadian novelist, activist, and criminal lawyer. He is one of Canada's best-known novelists, whose first book, Needles, which drew on his experiences as a criminal lawyer, won the McClelland & Stewart $50,000 Seal Award. In 1997 he won the Dashiell Hammett Prize for literary excellence in crime writing in North America for Trial of Passion. That book also won the 1998 Arthur Ellis Award for best Canadian crime novel, as did April Fool in 2003. Trial of Passion launched his first crime series, featuring the classically trained, self-doubting Arthur Beauchamp, QC, a series that continued with April Fool, Kill All the Judges, Snow Job, I'll See You in My Dreams, Sing a Worried Song, Whipped, and Stung."
